Name|Layer|Type|Movable|Description
Empty/Air|Active|Basic|False|Nothing, these tiles are not rendered and have no collision, making up the empty space of levels.
Solid|Active|Basic|True|These tiles make up the basis of most levels. The player and other entities collide with these tiles and cannot pass through them.
Large Spike (Right)|Active|Basic|True|This tile kills the player on contact, the direction is simply cosmetic.
Large Spike (Down)|Active|Basic|True|This tile kills the player on contact, the direction is simply cosmetic.
Large Spike (Left)|Active|Basic|True|This tile kills the player on contact, the direction is simply cosmetic.
Large Spike (Up)|Active|Basic|True|This tile kills the player on contact, the direction is simply cosmetic.
Thin Platform|Active|Basic|True, if any form of movement instructions are applied, the platform graphic is replaced with clouds instead|These act like solid tiles when standing on top of them, but when passing through from underneath the player will go straight through the platform. Furthermore, when crouching/ducking and pressing jump the player will fall-through the platform.
Hook|Active|Basic|True|A solid tile with a grabbable hook on both the left and right sides.
Pipe Block (Not Grabbable)|Active|Basic|True|These are an alternate version of the standard solid tile, with a pipe graphic instead. Also, the ledges/corners cannot be grabbed, unlike standard solid tiles and the grabbable pipe variant.
Fake Solid|Active|Basic|True|These tiles appear like the standard solid tiles, however the player and other entities will not collide with them. This allows for secret areas, monster closets, and a variety of other gameplay mechanics.
Weak/Crumbling Solid|Active|Basic|True|A solid tile that begins to break apart and crumble when the player comes into contact with it.
Small Spike (Right)|Active|Basic|True|This tile kills the player on contact, the direction is simply cosmetic.
Small Spike (Down)|Active|Basic|True|This tile kills the player on contact, the direction is simply cosmetic.
Small Spike (Left)|Active|Basic|True|This tile kills the player on contact, the direction is simply cosmetic.
Small Spike (Up)|Active|Basic|True|This tile kills the player on contact, the direction is simply cosmetic.
Saw-blade/Drill|Active|Basic|True|Similar to spike tiles, if the player comes into contact with this tile they will die. When placed in most situations the tile will appear in-game as a small saw-blade, however, if a solid tile is on either the left, or right, side of the tile then it will appear as a drill (facing the appropriate direction).
Switch (Unpressed)|Active|Basic|True|This is a switch that starts in the unpressed-state, if the corresponding black switch tile (with the same number) is pressed then this switch will become unpressed.
Switch (Pressed)|Active|Basic|True|This is a switch that starts in the pressed-state, if the corresponding white switch tile (with the same number) is pressed then this switch will become unpressed.
Decoration (Active)|Active|Basic|True|This tile can be assigned a variety of special non-interactive decorations that will appear in game, allowing for more detailed levels. These decorations can be assigned to the individual decoration tiles by modifying the tilesets.txt file, for more info about modifying tilesets see the Tilesets section in the Modding Reference.
Breakable Solid|Active|Basic|True|These blocks act as normal solid tiles, however, when charged into with enough speed (either by fast-falling or using a fast ledge jump) they will break apart.
Conveyer Belt Slow (Right)|Active|Basic|True|A slow moving conveyer belt, that moves the player in the direction it is facing.
Conveyer Belt Fast (Right)|Active|Basic|True|A fast moving conveyer belt, that moves the player in the direction it is facing.
Conveyer Belt Slow (Left)|Active|Basic|True|A slow moving conveyer belt, that moves the player in the direction it is facing.
Conveyer Belt Fast (Left)|Active|Basic|True|A fast moving conveyer belt, that moves the player in the direction it is facing.
Conveyer Belt Slow (Up)|Active|Basic|True|A slow moving conveyer belt, that moves the player in the direction it is facing.
Conveyer Belt Fast (Up)|Active|Basic|True|A fast moving conveyer belt, that moves the player in the direction it is facing.
Lock|Active|Basic|<br/ True|>A solid block that will be destroyed when the player comes into contact with it whilst having a key in their inventory. On destruction all adjacent barrier blocks will be destroyed as well.
Barrier|Active|Basic|<br/ True|>A solid block that will be destroyed when an adjacent lock block is opened by the player.
Particle Generator (Active)|Active|Basic|True|This tile can be assigned a variety of different particle effects that will be spawned from the tile's location, allowing for more detailed levels. These particles can be assigned to the individual particle spawner tiles by modifying the tilesets.txt file, for more info about modifying tilesets see the Tilesets section in the Modding Reference. Furthermore new particles can be created, and existing ones modified, in the particles.txt file, for more info about modifying particles see the Particles section in the Modding Reference
Pipe Block (Grabbable)|Active|Basic|True|These are an alternate version of the standard solid tile, with a pipe graphic instead. Unlike the other pipe tile variant, the ledges/corners can be grabbed with this tile.
Invisible Block|Active|Basic|True|A variant of the solid tile that has no graphic rendered, instead they are entirely invisible.
Hoast (Right)|Active|Enemy|False|An enemy that crawls slowly along the floor, either left or right, its skull can be bounced off of by the player. Contact with any other part of the enemy will result in death.
Hoast (Left)|Active|Enemy|False|An enemy that crawls slowly along the floor, either left or right, its skull can be bounced off of by the player. Contact with any other part of the enemy will result in death.
Floast|Active|Enemy|True|An enemy that floats in the air, its skull can be bounced off of by the player. Contact with any other part of the enemy will result in death.
Gasper|Active|Enemy|True|Floats in the air and emits a pollution cloud within approximately a four tile radius circle. The player can bounce off of the top of the enemy, but contact with any other part will result in death. Furthermore, if the player will slowly take damage whilst within the pollution cloud, eventually dying if in contact for too long.
Toast|Active|Enemy|False|A frog-like enemy that will periodically bounce towards the player, its skull can be bounced off of by the player. Contact with any other part of the enemy will result in death
Slag (Floor + Right)|Active|Enemy|False|This enemy crawls slowly along the floor, in its respective directon (left or right), any form of contact with this enemy result in death for the player
